name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review
Bella Carmona Guatemala,JBC Coffee Roasters,Medium-Light,United States,Guatemala,5.0,93,August 2022,"Evaluated as espresso. Caramel, almond butter, yellow plum, orange zest, cedar in aroma and small cup. Crisp, satiny mouthfeel; richly nut-driven finish. In three parts milk, almond and caramel tones commingle, supported by plum and cedar."
Bella Carmona Guatemala,JBC Coffee Roasters,Light,United States,Guatemala,5.0,92,September 2021,"Richly sweet-savory, citrus-toned. Tangerine zest, maple syrup, pistachio, rhododendron, baking chocolate in aroma and cup. Balanced structure with gentle, round acidity; full, lightly syrupy mouthfeel. The quiet finish is carried by notes of baking chocolate and pistachio."
Bella Carmona Guatemala,JBC Coffee Roasters,Medium-Light,United States,Guatemala,5.0,93,June 2020,"Richly sweet, deeply chocolaty. Baking chocolate, crisp pear, orange zest, oak, freesia-like flowers in aroma and cup. Sweet structure with pert acidity; syrupy mouthfeel. Finish consolidates to rich chocolate and freesia-like floral notes."
Birambo Village DR Congo,JBC Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.58,93,May 2022,"Crisp, balanced, very sweet. Aromatic orchid, apricot, almond, cocoa nib, lemon verbena in aroma and cup. Sweet-toned structure with brisk acidity; very syrupy mouthfeel. Nut- and cocoa-toned finish with undertones of apricot and lemon verbena."
Birambo Village DR Congo,JBC Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.26,91,March 2020,"Rich-toned, sweetly savory. Dried apricot, baking chocolate, lily, cedar, toasted barley in aroma and cup. Sweet-savory structure with bright, balanced acidity; full, satiny mouthfeel. A quiet finish consolidates to notes of baking chocolate and lily with undertones of cedar."
Camilina Geisha,Bird Rock Coffee Roasters,Medium-Light,United States,Panama,19.84,94,December 2018,"Crisply floral and sweetly herb-toned. Dark chocolate, lavender, dried pear, tangerine zest, frankincense in aroma and cup. Sweet-tart in structure with lively, expansive acidity; crisp, syrupy mouthfeel. The finish consolidates to pretty notes of lavender and dark chocolate, with a hint of tangerine zest."
Camilina Geisha,Bird Rock Coffee Roasters,Medium-Light,United States,Panama,49.97,95,October 2020,"Delicately fruit-forward, multi-layered, complex. Dark chocolate, blackberry jam, macadamia nut, honey, sandalwood in aroma and cup. Sweet-savory structure with winy acidity; very full, syrupy-smooth mouthfeel. Fruit-toned finish with deep, lasting chocolate undertones. "
Colombia Buesaco,Old World Coffee Lab,Medium-Light,United States,Colombia,7.35,92,October 2022,"Crisply cocoa- and berry-toned. Raspberry, cocoa nib, brown sugar, hazelnut, fir in aroma and cup. Sweet-tart structure with brisk acidity; full, syrupy mouthfeel. The gently drying finish consolidates to notes of brown sugar and fir."
Colombia Buesaco,Oak & Bond Coffee Company,Medium-Light,United States,Colombia,5.29,93,July 2020,"High-toned, crisply sweet-tart. Tangerine zest, cocoa nib, apricot, cedar, freesia-like flowers in aroma and cup. Brightly sweet-tart structure with lively, juicy acidity; satiny-smooth mouthfeel. The resonant finish centered around notes of cocoa nib, tangerine zest and cedar."
Colombia Geisha,Paradise Roasters,Medium-Light,United States,Colombia,11.73,93,April 2020,"Rich-toned, exceptionally sweet. Blood orange zest, lilac, baking chocolate, pear, cedar in aroma and cup. High-toned, bittersweet structure with juicy, balanced acidity; satiny-smooth mouthfeel. Long, chocolaty, fruit-toned finish."
Colombia Geisha,Paradise Roasters,Medium-Light,United States,Colombia,7.61,94,December 2018,"Deep, richly sweet-savory. Black currant, fine musk, toffee, jasmine, celery seed in aroma and cup. Sweet-savory in structure with bright, juicy acidity; plush, syrupy mouthfeel. The flavor-saturated finish is equal parts sweet-leaning (black currant, toffee, jasmine) and savory (musk, celery seed). "
Colombia Nariño,Revel Coffee,Medium-Light,United States,Colombia,5.0,93,June 2020,"Deeply and richly sweet, quite chocolaty. Dark chocolate, red grape, magnolia, maple syrup, oak in aroma and cup. Sweet-toned structure with bright, lively acidity; smooth, velvety mouthfeel. The pleasing finish consolidates to notes of dark chocolate and magnolia."
Colombia Nariño,Dragonfly Coffee Roasters,Medium-Light,United States,Colombia,3.67,91,April 2021,"Crisply sweet, chocolaty. Baking chocolate, raisin, cedar, almond, lily in aroma and cup. Sweet-toned structure with brisk acidity; velvety mouthfeel. Gently drying finish consolidates to notes of chocolate-toned raisin and cedar."
Colombia Pink Bourbon,Paradise Roasters,Medium-Light,United States,Colombia,7.33,94,June 2019,"Elegant, tropical, rich-toned. Strawberry guava, honeysuckle, almond, sandalwood, cacao nib in aroma and cup. Richly sweet structure with bright, vibrant acidity; lush, syrupy mouthfeel. Lingering notes of strawberry and honeysuckle in the delicate finish."
Colombia Pink Bourbon,Paradise Roasters,Medium-Light,United States,Colombia,11.17,94,June 2022,"Complex, nuanced, high-toned. Wild raspberry, honeysuckle, cocoa nib, tangerine zest, honey in aroma and cup. Sweetly tart with juicy-bright acidity; full, satiny-smooth mouthfeel. The inviting finish leads with notes of cocoa nib and honey."
Colombia Pink Bourbon,Black Coffee In Black Jar,Medium-Light,Taiwan,Colombia,32.0,92,December 2019,"Crisply sweet, delicately tart. Pomegranate, grapefruit zest, magnolia, elm, maple syrup in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. Rich-toned finish with notes of pomegranate and magnolia in the short and maple syrup in the long."
Colombia Pink Bourbon Honey,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,8.52,95,April 2021,"Bright, juicy, high-toned. Guava, almond butter, wild honey, tangerine zest, narcissus-like flowers in aroma and cup. Richly sweet, elegantly tart structure with high-toned, vibrant acidity; very full, syrupy mouthfeel. The long, lingering, flavor-saturated finish carries forward all the notes from the cup."
Colombia Pink Bourbon Honey,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,8.23,93,July 2020,"Floral and sweetly spice-toned. Jasmine, pink peppercorn, apricot, baking chocolate, fresh-cut oak in aroma and cup. Sweet-savory structure with balanced, bright acidity; satiny-smooth mouthfeel. Finish consolidates to notes of apricot and baking chocolate with hints of jasmine at the top and oak underneath."
Colombia Quindio Anaerobic Natural,Paradise Roasters,Medium-Light,United States,Colombia,8.82,94,June 2022,"Evaluated as espresso. Brightly fruit-toned, deeply chocolaty, with savory undertones. Rambutan, sandalwood, kumquat, dark chocolate, freesia in aroma and small cup. Crisp, satiny mouthfeel; especially long, flavor-laden finish. In three parts milk, sandalwood notes frame the dark chocolate and tropical fruit throughlines."
Colombia Quindio Anaerobic Natural,Paradise Roasters,Medium-Light,United States,Colombia,8.82,94,June 2022,"Richly fruit and spice-toned. Dried elderberry, clove, agave syrup, marjoram, sandalwood in aroma and cup. Sweet-savory structure with vibrant acidity; syrupy-smooth mouthfeel. The resonant finish leads with notes of elderberry and sandalwood."
Colombia Tres Dragones,modcup coffee,Medium-Light,United States,Colombia,7.94,95,June 2022,"Richly sweet-savory, fruit-forward, juicy. Dried pineapple, dark chocolate, wine barrel, magnolia, hop flowers in aroma and cup. Richly sweet-savory structure with high-toned acidity; plush, viscous mouthfeel. The fruit-driven finish is complicated by notes of wine barrel and magnolia. "
Colombia Tres Dragones,Bird Rock Coffee Roasters,Light,United States,Colombia,8.11,94,November 2022,"Richly chocolaty, sweetly fermenty. Cherry cordial, chocolate fudge, almond brittle, fine musk, gardenia in aroma and cup. Brightly sweet structure with juicy, winey acidity; full, viscous mouthfeel. Crisply chocolaty, fruity finish with a whisper of alcohol ferment."
Cordillera del Fuego Costa Rica Anaerobic,Black & White Coffee Roasters,Medium-Light,United States,Costa Rica,5.88,93,November 2019,"Crisply sweet, richly tart-savory. Dried apricot, marjoram, wild honey, oak, narcissus in aroma and cup. Balanced sweet-tart structure with vibrant, juicy acidity; satiny-smooth mouthfeel. The finish consolidates to dried apricot and marjoram with undertones of honey."
Cordillera del Fuego Costa Rica Anaerobic,Collage Coffee,Medium-Light,United States,Costa Rica,5.29,93,November 2019,"Richly spicy, musky, chocolaty. Mexican chocolate (cocoa nib, vanilla, cinnamon, sugar), dried parsley, nutmeg, musk in aroma and cup. Crisp and piquant in structure; light, silky mouthfeel. The impressive finish is drying yet quite sweet, saturated with chocolate, cinnamon and musk suggestions."
Costa Rica Las Lajas Red Honey,Durango Coffee Company,Medium-Light,United States,Costa Rica,4.69,93,January 2021,"Gently sweet-tart, complexly layered. Blueberry jam, jasmine, almond, cedar, caramel in aroma and cup. Fruit-forward structure with gentle acidity; full, syrupy mouthfeel. Finish consolidates to notes of blueberry and caramel with undertones of cedar."
Costa Rica Las Lajas Red Honey,Durango Coffee Company,Medium,United States,Costa Rica,4.69,93,December 2019,"Deeply sweet, subtly tart, nuanced. Ripe blueberry, freesia-like flowers, almond, fresh-cut cedar, nougat in aroma and cup. Sweetly fruit-toned structure with round acidity; full, syrupy mouthfeel. Finish consolidates to notes of blueberry and nougat with undertones of cedar. "
Costa Rica Perla Negra,Durango Coffee Company,Medium,United States,Costa Rica,4.98,95,August 2018,"Evaluated as espresso. Deeply rich, crisply sweet, fruit- and chocolate-toned. Dried mango, chocolate fudge, narcissus-like flowers, roasted almond, fresh-cut cedar in aroma and small cup. Lively, silky smooth mouthfeel; resonant, flavor-saturated finish. The chocolate-forward presentation in three parts milk is nuanced by notes of mango and fresh-cut cedar."
Costa Rica Perla Negra,Durango Coffee Company,Medium,United States,Costa Rica,4.98,92,September 2020,"Sweet, crisp, fruit-toned. Raspberry, cocoa nib, orange zest, magnolia, fir in aroma and cup. Sweet-toned structure with round acidity; velvety-smooth mouthfeel. The finish consolidates to cocoa-toned raspberry and fir."
Costa Rica Termico,RamsHead Coffee Roasters,Medium-Light,United States,Costa Rica,6.75,92,October 2020,"Crisply fruit-toned, richly sweet-savory. Grape candy, sassafras, almond, gardenia, agave syrup in aroma and cup. Bittersweet structure with gentle, round acidity; velvety mouthfeel. The sweet-savory finish is characterized by notes of grape candy, sassafras and almond."
Costa Rica Termico,Battlecreek Coffee,Light,United States,Costa Rica,5.88,91,February 2022,"Crisply spice-toned. Nutmeg, clove, baking chocolate, date, fir in aroma"
Ecuador Pichincha Typica,Paradise Roasters,Medium-Light,United States,Ecuador,6.15,93,April 2018,"Delicate, intricately sweet. Dried mango, roasted cacao nib, honeysuckle, freesia-like flowers, a hint of cumin in aroma and cup. Deeply rich, balanced  structure; crisp, satiny mouthfeel. The finish is animated by lively mango and freesia notes in the short, quieting to cocoa-toned honeysuckle in the long."
Ecuador Pichincha Typica,Paradise Roasters,Medium-Light,United States,Ecuador,7.61,93,March 2019,"Richly sweet-savory, spice-toned. Lemon verbena, mango, cacao nib, freesia-like flowers, almond butter in aroma and cup. Balanced, bittersweet structure with vibrant, juicy acidity; delicate, silky-smooth mouthfeel. The resonant, lingering finish centers around cocoa-toned mango and almond."
El Salvador Pacamara,RamsHead Coffee Roasters,Medium-Light,United States,El Salvador,5.28,93,August 2021,"Chocolaty, sweetly savory. Baking chocolate, lemon verbena, pomegranate, fresh-cut oak, maple syrup in aroma and cup. Sweet-toned structure with round acidity; full, satiny mouthfeel. Quiet finish leads with notes of baking chocolate and maple syrup, supported by undertones of fresh-cut oak."
El Salvador Pacamara,Speckled Ax,Medium-Light,United States,El Salvador,7.35,92,December 2018,"Fruit-forward, crisply sweet. Peach, grapefruit zest, hazelnut, molasses, oak in aroma and cup. Savory-sweet structure with round, gentle acidity; full, satiny mouthfeel. The resonant finish centers around notes of peach, grapefruit zest and oak."
El Salvador Pacamara,RamsHead Coffee Roasters,Medium,United States,El Salvador,5.28,92,July 2020,"Richly sweet-savory, cocoa-toned. Cocoa powder, hop flowers, black cherry, fresh-cut oak, agave syrup in aroma and cup. Balanced, bittersweet structure with brisk acidity; plush, syrupy mouthfeel. Finish consolidates to cocoa-toned black cherry and oak."
Esmeralda Estate Panama Geisha,Difference Coffee,,England,Panama,111.11,94,August 2021,"Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Rich-toned, floral- and fruit-driven. Jasmine, apricot, almond, baking chocolate, cedar in aroma and small cup. Delicately viscous mouthfeel; crisp finish centered around chocolate and almond notes. The milk shot is boldly pleasing, chocolate-laden and richly floral."
Esmeralda Estate Panama Geisha,Difference Coffee,,England,Panama,100.0,94,November 2020,"Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Richly aromatic, floral and balanced. Jasmine, orange zest, baking chocolate, pear, cedar in aroma and small cup. Silky-smooth mouthfeel. Crisp finish leads with notes of jasmine and orange zest, with undertones of baking chocolate throughout. Chocolate notes deepen in three parts milk, as do sweet florals."
Esmeralda Estate Panama Geisha,Difference Coffee,,England,Panama,111.11,94,June 2020,"Evaluated as espresso produced as a ristretto 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Delicate, floral-toned. Honeysuckle, white peach, lime zest, cocoa nib, cedar in aroma and small cup. Silky, buoyant mouthfeel. The elegant finish centers around notes of honeysuckle and lime zest, with cocoa nib lingering into the long. Cappuccino-scaled milk further amplifies floral and chocolate tones."
Esmeralda Estate Panama Geisha,Difference Coffee,,England,Panama,111.11,94,July 2022,"Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Crisply sweet, floral-toned. Lilac, plum, almond, cocoa nib, lemon verbena in aroma and small cup. Silky-smooth mouthfeel; crisp finish with notes of cocoa nib and lemon verbena. In cappuccino format, cocoa notes are further elevated and sweet herb notes provide bright ballast. "
Esmeralda Estate Panama Geisha,Difference Coffee,,England,Panama,111.11,94,August 2018,"Evaluated as espresso produced as a ristretto 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Sweetly bright, intricate, original. Peach, sandalwood, lemon tart, baker’s chocolate, rhododendron-like flowers in aroma and small cup. Delicately plump in mouthfeel; long, resonant, peach- and lemon-saturated finish. Remains crisply tart in three parts milk, with flavor consolidating around a subtle, elegant dry chocolate.  "
Esperanza Villa Sarchi,El Gran Cafe,Light,Guatemala,Guatemala,4.85,90,December 2021,"Balanced, richly bittersweet. Cocoa powder, prairie flowers, date, lily, fresh-cut oak in aroma and cup. Savory-sweet structure with bittersweet acidity; full, syrupy mouthfeel. The gently drying finish centers around notes of cocoa powder and fir."
Esperanza Villa Sarchi,El Gran Cafe,Medium-Light,Guatemala,Guatemala,4.85,92,November 2022,"Crisply sweet, nut-toned. Nutella, peach, lime zest, cedar, magnolia in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. Gently drying, very sweet nut-toned finish. "
Espresso,Lina Premium Coffee,Medium-Dark,United States,Colombia,4.63,91,March 2021,"Evaluated as espresso. Deep-toned, chocolaty and rich. Dark chocolate, hazelnut, gently scorched cedar, raisin, gardenia-like flowers in aroma and small cup. Full, creamy mouthfeel; chocolaty, wood-framed finish. Milk amplifies both dark chocolate and hazelnut notes in a richly sweet presentation."
Espresso,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,27.76,94,November 2021,"Evaluated as espresso. Balanced, chocolaty, subtly fruit-toned. Dark chocolate, tamarind, wild honey, marjoram, honeysuckle in aroma and small cup. Plush, syrupy mouthfeel; chocolaty finish with undertones of tamarind and wild honey. In cappuccino-scaled milk, tart tamarind notes stand up to the chocolate, and undercurrents of honeysuckle contribute sweet spice notes."
Ethiopia,Caffeic,Medium-Light,United States,Ethiopia,3.97,93,October 2018,"Crisply sweet, fruit-toned. Raspberry, roasted cacao nib, honey, fresh-cut fir, freesia-like flowers in aroma and cup. Richly sweet-tart in structure with vibrant acidity; delicate, silky mouthfeel. The long, lasting finish centers around cocoa-toned honey and freesia."
Ethiopia,Caffeic,Medium-Light,United States,Ethiopia,4.12,93,March 2018,"Richly sweet, spice-toned. Dried cherry, lemon zest, baker’s chocolate, cashew, a hint of cayenne in aroma and cup. Delicate, sweetly tart structure with bright acidity; crisp, velvety mouthfeel. The flavor-saturated finish centers on citrus notes and chocolate in the short, with a suggestion of cayenne in the long."
Ethiopia Banko Gotiti,Red Rooster Coffee Roaster,Light,United States,Ethiopia,4.99,94,January 2018,"Resonantly fruit-forward, elegant, complex. Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup. Juicy, rich structure with bright, vibrant acidity; full, satiny mouthfeel. A suggestion of sweet marjoram complicates the rich, flavor-saturated finish, which leads with honey and raspberry notes in the short, rounding to chocolate and aged rum in the long."
Ethiopia Banko Gotiti,Bird Rock Coffee Roasters,Medium-Light,United States,Ethiopia,5.88,94,October 2020,"Complex, intricate, deeply sweet. Star jasmine, cocoa nib, nectarine, frankincense, spearmint in aroma and cup. Bright, juicy acidity; plush, velvety mouthfeel. Resonant, flavor-saturated finish leads with notes of star jasmine and nectarine, balanced by suggestions of crisp cocoa."
Ethiopia Banko Gotiti,PT's Coffee Roasting Co.,Medium-Light,United States,Ethiopia,5.73,94,October 2020,"Delicate, spice-toned, richly aromatic. Narcissus-like flowers, cocoa nib, peach, lemon verbena, a hint of eucalyptus wood in aroma and cup. High-toned, vibrant acidity; full, syrupy mouthfeel. The deep, cocoa-toned finish centers around notes of narcissus and peach."
Ethiopia Banko Gotiti Natural,Kakalove Cafe,Light,Taiwan,Ethiopia,4.6,94,February 2018,"Deeply and richly sweet; spice-toned. Lavender, mulberry, bay leaf, lemon zest, allspice in aroma and cup. Sweet-toned structure with vibrant acidity; buoyant, silky mouthfeel. The long, resonant finish is laden with spice-toned floral notes and bright berry suggestions."
Ethiopia Banko Gotiti Natural,Coffee Please,Light,Taiwan,Ethiopia,4.96,94,April 2018,"High-toned, deeply sweet. Honeysuckle, blackberry, cardamom, tangerine zest, sandalwood in aroma and cup. Sweet-tart structure with vibrant acidity; buoyant, satiny mouthfeel. The flavor-saturated finish leads with rich floral notes and crisply sweet suggestions of mixed berries"
Ethiopia Deri Kochoha,Flight Coffee Co.,Medium-Light,United States,Ethiopia,5.0,93,January 2019,"Bright, crisp, sweetly tart. Citrus medley, cacao nib, pink peppercorn, dogwood, almond in aroma and cup. Sweet-tart structure with lively acidity; crisp, satiny mouthfeel. The short finish is intense with notes of citrus and pink peppercorn, while the long softens to almond-toned florals."
Ethiopia Deri Kochoha,States Coffee & Mercantile,Medium-Light,United States,Ethiopia,5.29,93,August 2018,"Sweetly and gently tart. Lavender, brown sugar, lemon zest, honeydew melon, fresh pipe tobacco in aroma and cup. Delicately sweet-tart and juicy in structure; lightly syrupy in mouthfeel. Flavor consolidates but rings on in a resonant finish."
Ethiopia Durato Bombe,Magnolia Coffee,Medium-Light,United States,Ethiopia,5.58,94,March 2022,"Richly fruit-forward, deeply chocolaty. Dried mango, chocolate fudge, wisteria, cedar, pistachio in aroma and cup in aroma and cup. Sweetly tart structure with winy acidity; plush, syrupy mouthfeel. The rich-toned finish consolidates to notes of dried mango, chocolate fudge and cedar."
Ethiopia Durato Bombe,Per’la Specialty Roasters,Light,United States,Ethiopia,7.05,95,August 2022,"Massively floral, juicy, cocoa-toned. Distinct cocoa, honeysuckle, tangerine, caramel, cashew in aroma and cup. Deeply sweet, savory-edged in structure, with deep, vibrant acidity. Full, syrupy mouthfeel. The finish is sweet and rich, carrying most notes from the cup far into the long. "
Ethiopia Gora Kone Sidamo,Temple Coffee Roasters,Medium-Light,United States,Ethiopia,5.88,92,November 2021,"Brightly sweet-tart. Pomegranate, cedar, baking chocolate, freesia-like flowers, brown sugar in aroma and cup. Sweet-tart structure with pert acidity; crisp, velvety mouthfeel. The gently drying finish leads with notes of baking chocolate and freesia, rounding to cedar and brown sugar in the long."
Ethiopia Gora Kone Sidamo,Temple Coffee Roasters,Medium-Light,United States,Ethiopia,5.88,93,January 2019,"Fruit-forward, richly chocolaty. Raspberry coulis, chocolate fudge, brandy, cedar, mace in aroma and cup. Sweet-tart structure with gentle, rounded acidity; full, creamy mouthfeel. Fruit-toned finish: think berries enveloped in chocolate, with a hint of mace in the long."
Ethiopia Guji,States Coffee & Mercantile,Medium-Light,United States,Ethiopia,5.29,94,March 2019,"Richly sweet, spice-toned. Star jasmine, mango chutney, sandalwood, cacao nib, pink peppercorn in aroma and cup. Sweet-savory structure with crisp acidity; plush, syrupy mouthfeel. A richly drying finish leads with notes of jasmine and mango, supported by hints of incense-like sandalwood."
Ethiopia Guji,North Coast Coffee Roasting,Medium-Light,United States,Ethiopia,4.76,90,November 2018,"Crisply sweet, balanced. Baker’s chocolate, apricot, magnolia, cedar, almond in aroma and cup. Sweet-tart in structure with brisk acidity; velvety-smooth mouthfeel. The finish centers around apricot and magnolia in the short, with cedar and baker’s chocolate returning in the long. "
Ethiopia Guji Hambela Dabaye,Jaunt Coffee Roasters,Medium-Light,United States,Ethiopia,6.47,93,August 2022,"Delicately aromatic, richly sweet. Narcissus, honey, apricot, almond, Meyer lemon zest in aroma and cup. Sweetly tart structure with gently bright, floral acidity; smooth, silky mouthfeel. The finish consolidates to notes of honey and almond with undertones of narcissus."
Ethiopia Guji Hambela Dabaye,Sunny's Coffee,Light,Japan,Ethiopia,9.22,91,May 2021,"Gently fruit-toned, sweetly tart. Plum, cocoa nib, lemon verbena, oak, maple syrup in aroma and cup. Crisp, high-toned with juicy acidity; satiny mouthfeel. The sweetly herbaceous finish is driven by lemon verbena and maple syrup notes with oak undertones."
Ethiopia Guji Uraga,Pedestrian Coffee,Medium-Light,United States,Ethiopia,5.29,93,October 2019,"Crisp, delicate, richly sweet. Red plum, cocoa nib, jasmine, sandalwood, brown sugar in aroma and cup. Sweet-toned structure with vivacious acidity; plush, syrupy mouthfeel. Cocoa-toned plum and a hint of jasmine animate the quiet finish."
Ethiopia Guji Uraga,De Clieu Coffee,Medium-Light,Taiwan,Ethiopia,7.08,93,September 2020,"Crisp, delicate, richly sweet. Yellow plum, cocoa powder, narcissus, sandalwood, brown sugar in aroma and cup. Sweet-toned structure with lively acidity; full, satiny mouthfeel. Cocoa-toned plum and a hint of narcissus enliven the quiet finish."
Ethiopia Hambela Alaka,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,93,March 2019,"High-toned, crisply sweet-tart. Apricot, almond, maple syrup, narcissus-like flower, cedar in aroma and cup. Sweetly tart structure with bright, juicy acidity; satiny mouthfeel. Resonant, flavor-saturated finish: apricot and narcissus in the short with cedar resurfacing in the long."
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium-Light,United States,Ethiopia,5.14,93,November 2017,"Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate."
